"A 행정구역(시군구)별",M202004 2020. 04,M202004 2020. 04,M202004 2020. 04,M202005 2020. 05,M202005 2020. 05,M202005 2020. 05,M202006 2020. 06,M202006 2020. 06,M202006 2020. 06
"A 행정구역(시군구)별",T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명),T20 총인구수 (14STD04553 명),T21 남자인구수 (14STD04553 명),T22 여자인구수 (14STD04553 명)
"47770 영덕군",36845,17498,19347,36763,17457,19306,36721,17423,19298
"47820 청도군",42684,20937,21747,42651,20913,21738,42553,20857,21696
"47830 고령군",31910,16308,15602,31842,16293,15549,31764,16267,15497
"47840 성주군",43627,22565,21062,43582,22532,21050,43488,22471,21017
"47850 칠곡군",115780,60414,55366,115658,60357,55301,115345,60161,55184
"47900 예천군",55572,27302,28270,55616,27329,28287,55750,27401,28349
"47920 봉화군",31889,16050,15839,31843,16019,15824,31823,16024,15799
"47930 울진군",48834,24410,24424,48815,24399,24416,48843,24430,24413
"47940 울릉군",9269,5049,4220,9243,5033,4210,9239,5026,4213
"48 경상남도",3353380,1688178,1665202,3351347,1687289,1664058,3349454,1686331,1663123
"48120 창원시",1041553,527820,513733,1040773,527377,513396,1040118,527035,513083
"48121 의창구",262241,133498,128743,262729,133709,129020,263184,133960,129224
"48123 성산구",217948,111389,106559,217430,111068,106362,216982,110851,106131
"48125 마산합포구",175504,87317,88187,175239,87221,88018,174956,87093,87863
"48127 마산회원구",193101,96996,96105,192751,96813,95938,192433,96577,95856
"48129 진해구",192759,98620,94139,192624,98566,94058,192563,98554,94009
"48170 진주시",347578,172050,175528,347519,172037,175482,347462,172027,175435
"48220 통영시",130221,65470,64751,129997,65363,64634,129711,65214,64497
"48240 사천시",111365,56119,55246,111268,56099,55169,111184,56072,55112
"48250 김해시",542929,274576,268353,543072,274740,268332,542842,274583,268259
"48270 밀양시",105201,51541,53660,105139,51488,53651,105133,51496,53637
"48310 거제시",247427,129950,117477,247096,129761,117335,246878,129682,117196
"48330 양산시",351383,176363,175020,351373,176340,175033,351596,176445,175151
"48720 의령군",26979,13173,13806,26954,13180,13774,26957,13191,13766
"48730 함안군",64959,32912,32047,64775,32826,31949,64724,32793,31931
"48740 창녕군",61889,30770,31119,61873,30755,31118,61825,30708,31117
"48820 고성군",51918,26053,25865,51876,26048,25828,51811,26011,25800
"48840 남해군",43223,20795,22428,43149,20747,22402,43102,20733,22369
"48850 하동군",45753,22788,22965,45628,22723,22905,45454,22637,22817
"48860 산청군",35223,17276,17947,35152,17246,17906,35140,17236,17904
"48870 함양군",39377,18986,20391,39353,18973,20380,39321,18943,20378
"48880 거창군",61700,30067,31633,61729,30135,31594,61681,30123,31558
"48890 합천군",44702,21469,23233,44621,21451,23170,44515,21402,23113
"50 제주특별자치도",670595,337119,333476,670793,337111,333682,671316,337343,333973
"50110 제주시",489466,245486,243980,489734,245567,244167,490254,245805,244449
"50130 서귀포시",181129,91633,89496,181059,91544,89515,181062,91538,89524
